		21% 1st time (74)	2% 1st time (26)	0% 1st time (25)	0% 1st time (23)	1% 1st time (21)	1% 1st time (23)	0% 1st time (18)	0% 1st time (19)	0% 1st time (16)	0% 1st time (18)	0% 1st time (14)	0% 1st time (20)	0% 1st time (20)	0% 1st time (16)	0% 1st time (16)	0% 1st time (16)	0% 1st time (18)	0% 1st time (17)	0% 1st time (15)	0% 1st time (9)
02/26/15-03/04/15	1884 customers	9% orders (188)	4% orders (76)	3% orders (64)	2% orders (49)	3% orders (58)	2% orders (46)	2% orders (51)	2% orders (47)	2% orders (50)	2% orders (49)	2% orders (38)	2% orders (50)	1% orders (31)	2% orders (43)	1% orders (33)	2% orders (41)	2% orders (44)	2% orders (43)	0% orders (12)
		9% 1st time (188)	1% 1st time (76)	1% 1st time (64)	0% 1st time (49)	0% 1st time (58)	0% 1st time (46)	0% 1st time (51)	0% 1st time (47)	0% 1st time (50)	0% 1st time (49)	0% 1st time (38)	0% 1st time (50)	0% 1st time (31)	0% 1st time (43)	0% 1st time (33)	0% 1st time (41)	0% 1st time (44)	0% 1st time (43)	0% 1st time (12)
03/05/15-03/11/15	1212 customers	10% orders (133)	4% orders (52)	3% orders (39)	2% orders (32)	3% orders (41)	2% orders (28)	2% orders (28)	2% orders (32)	3% orders (41)	2% orders (29)	2% orders (29)	1% orders (24)	2% orders (33)	2% orders (26)	2% orders (31)	2% orders (31)	2% orders (33)	0% orders (9)
		10% 1st time (133)	1% 1st time (52)	1% 1st time (39)	0% 1st time (32)	0% 1st time (41)	0% 1st time (28)	0% 1st time (28)	0% 1st time (32)	0% 1st time (41)	0% 1st time (29)	0% 1st time (29)	0% 1st time (24)	0% 1st time (33)	0% 1st time (26)	0% 1st time (31)	0% 1st time (31)	0% 1st time (33)	0% 1st time (9)
03/12/15-03/18/15	1003 customers	6% orders (65)	3% orders (33)	2% orders (25)	2% orders (29)	2% orders (26)	1% orders (19)	2% orders (23)	2% orders (23)	1% orders (15)	2% orders (21)	1% orders (17)	1% orders (13)	1% orders (19)	1% orders (18)	1% orders (16)	1% orders (20)	0% orders (8)
		6% 1st time (65)	1% 1st time (33)	0% 1st time (25)	0% 1st time (29)	0% 1st time (26)	0% 1st time (19)	0% 1st time (23)	0% 1st time (23)	0% 1st time (15)	0% 1st time (21)	0% 1st time (17)	0% 1st time (13)	0% 1st time (19)	0% 1st time (18)	0% 1st time (16)	0% 1st time (20)	0% 1st time (8)
03/19/15-03/25/15	827 customers	8% orders (67)	3% orders (27)	2% orders (20)	2% orders (22)	2% orders (24)	2% orders (22)	2% orders (21)	1% orders (16)	1% orders (15)	2% orders (21)	2% orders (17)	2% orders (21)	3% orders (25)	2% orders (19)	1% orders (15)	1% orders (12)
		8% 1st time (67)	1% 1st time (27)	0% 1st time (20)	0% 1st time (22)	0% 1st time (24)	0% 1st time (22)	0% 1st time (21)	0% 1st time (16)	0% 1st time (15)	0% 1st time (21)	0% 1st time (17)	0% 1st time (21)	0% 1st time (25)	0% 1st time (19)	0% 1st time (15)	0% 1st time (12)
03/26/15-04/01/15	844 customers	6% orders (59)	2% orders (22)	3% orders (33)	2% orders (22)	2% orders (23)	2% orders (18)	2% orders (20)	2% orders (22)	1% orders (14)	1% orders (16)	3% orders (26)	3% orders (27)	2% orders (19)	2% orders (25)	1% orders (9)
		6% 1st time (59)	1% 1st time (22)	1% 1st time (33)	0% 1st time (22)	0% 1st time (23)	0% 1st time (18)	0% 1st time (20)	0% 1st time (22)	0% 1st time (14)	0% 1st time (16)	0% 1st time (26)	0% 1st time (27)	0% 1st time (19)	0% 1st time (25)	0% 1st time (9)
04/02/15-04/08/15	972 customers	7% orders (76)	2% orders (26)	2% orders (28)	2% orders (27)	2% orders (27)	1% orders (19)	2% orders (20)	2% orders (22)	1% orders (19)	2% orders (24)	2% orders (25)	1% orders (13)	1% orders (15)	1% orders (13)
		7% 1st time (76)	1% 1st time (26)	0% 1st time (28)	0% 1st time (27)	0% 1st time (27)	0% 1st time (19)	0% 1st time (20)	0% 1st time (22)	0% 1st time (19)	0% 1st time (24)	0% 1st time (25)	0% 1st time (13)	0% 1st time (15)	0% 1st time (13)
04/09/15-04/15/15	732 customers	9% orders (66)	4% orders (32)	3% orders (27)	2% orders (20)	3% orders (25)	2% orders (21)	2% orders (19)	1% orders (12)	2% orders (20)	2% orders (16)	2% orders (21)	2% orders (17)	1% orders (10)
		9% 1st time (66)	2% 1st time (32)	0% 1st time (27)	0% 1st time (20)	0% 1st time (25)	0% 1st time (21)	0% 1st time (19)	0% 1st time (12)	0% 1st time (20)	0% 1st time (16)	0% 1st time (21)	0% 1st time (17)	0% 1st time (10)
04/16/15-04/22/15	595 customers	9% orders (56)	4% orders (24)	3% orders (23)	3% orders (18)	3% orders (23)	1% orders (10)	2% orders (16)	1% orders (8)	3% orders (23)	3% orders (22)	2% orders (14)	2% orders (12)
		9% 1st time (56)	1% 1st time (24)	0% 1st time (23)	0% 1st time (18)	0% 1st time (23)	0% 1st time (10)	0% 1st time (16)	0% 1st time (8)	0% 1st time (23)	0% 1st time (22)	0% 1st time (14)	0% 1st time (12)
04/23/15-04/29/15	850 customers	14% orders (127)	5% orders (44)	3% orders (28)	3% orders (26)	3% orders (30)	3% orders (30)	2% orders (25)	2% orders (24)	2% orders (24)	3% orders (30)	2% orders (18)
		14% 1st time (127)	1% 1st time (44)	0% 1st time (28)	0% 1st time (26)	0% 1st time (30)	0% 1st time (30)	0% 1st time (25)	0% 1st time (24)	0% 1st time (24)	0% 1st time (30)	0% 1st time (18)
04/30/15-05/06/15	602 customers	15% orders (96)	4% orders (30)	4% orders (28)	5% orders (31)	4% orders (25)	4% orders (25)	4% orders (25)	4% orders (26)	3% orders (24)	1% orders (10)
		15% 1st time (96)	1% 1st time (30)	0% 1st time (28)	1% 1st time (31)	0% 1st time (25)	0% 1st time (25)	0% 1st time (25)	0% 1st time (26)	0% 1st time (24)	0% 1st time (10)
05/07/15-05/13/15	593 customers	14% orders (84)	4% orders (28)	3% orders (23)	5% orders (30)	4% orders (24)	4% orders (26)	5% orders (30)	3% orders (22)	1% orders (7)
		14% 1st time (84)	1% 1st time (28)	0% 1st time (23)	1% 1st time (30)	0% 1st time (24)	1% 1st time (26)	1% 1st time (30)	0% 1st time (22)	0% 1st time (7)
05/14/15-05/20/15	540 customers	15% orders (84)	3% orders (19)	5% orders (27)	4% orders (22)	4% orders (23)	5% orders (27)	3% orders (19)	2% orders (15)
		15% 1st time (84)	1% 1st time (19)	1% 1st time (27)	0% 1st time (22)	1% 1st time (23)	1% 1st time (27)	0% 1st time (19)	0% 1st time (15)
05/21/15-05/27/15	807 customers	14% orders (116)	5% orders (46)	5% orders (41)	3% orders (31)	5% orders (41)	4% orders (33)	2% orders (21)
		14% 1st time (116)	2% 1st time (46)	1% 1st time (41)	0% 1st time (31)	0% 1st time (41)	0% 1st time (33)	0% 1st time (21)
05/28/15-06/03/15	792 customers	13% orders (108)	4% orders (35)	4% orders (36)	4% orders (32)	3% orders (31)	1% orders (11)
		13% 1st time (108)	1% 1st time (35)	1% 1st time (36)	1% 1st time (32)	0% 1st time (31)	0% 1st time (11)
06/04/15-06/10/15	750 customers	13% orders (104)	4% orders (35)	4% orders (34)	3% orders (24)	2% orders (20)
		13% 1st time (104)	2% 1st time (35)	1% 1st time (34)	0% 1st time (24)	0% 1st time (20)
06/11/15-06/17/15	919 customers	16% orders (149)	4% orders (44)	4% orders (37)	1% orders (18)
		16% 1st time (149)	1% 1st time (44)	0% 1st time (37)	0% 1st time (18)
06/18/15-06/24/15	818 customers	16% orders (138)	4% orders (38)	1% orders (15)
		16% 1st time (138)	1% 1st time (38)	0% 1st time (15)
06/25/15-07/01/15	662 customers	14% orders (96)	3% orders (23)
		14% 1st time (96)	1% 1st time (23)
07/02/15-07/08/15	983 customers	13% orders (136)
		13% 1st time (136)
